
# BEGIN FAE
#####

## non-fae heads
#[924026232,198264679,-1687572293,1513739562] eyJ0ZXh0dXJlcyI6eyJTS0lOIjp7InVybCI6Imh0dHA6Ly90ZXh0dXJlcy5taW5lY3JhZnQubmV0L3RleHR1cmUvYzg3YTk2YThjMjNiODNiMzJhNzNkZjA1MWY2Yjg0YzJlZjI0ZDI1YmE0MTkwZGJlNzRmMTExMzg2MjliNWFlZiJ9fX0= entity.spider.ambient Spider
#[-1347566685,-1680848226,-1812695161,-1666522082] eyJ0ZXh0dXJlcyI6eyJTS0lOIjp7InVybCI6Imh0dHA6Ly90ZXh0dXJlcy5taW5lY3JhZnQubmV0L3RleHR1cmUvMWFhODhiYzNjNTMxMGM4NDBmNDgxN2ZlZWQ2NmU4YTg0ZWMyNjM2YmNhY2I1NzdjZDAwZjA3OTc4NTc5OGFmNCJ9fX0= block.beehive.work Bee
#[610437715,1064192033,-2009386261,-1492153709] eyJ0ZXh0dXJlcyI6eyJTS0lOIjp7InVybCI6Imh0dHA6Ly90ZXh0dXJlcy5taW5lY3JhZnQubmV0L3RleHR1cmUvNjFhZmZkMzFlZmMzN2JhODRmNTAxODczOTRkODY4ODM0NGNjZDA2Y2RjOTI2ZGRmY2YyZGYxMTY5ODZkY2E5In19fQ== entity.slime.jump Slime

# leaf elves
[1151157657,55070517,-1292124608,1016873563] eyJ0ZXh0dXJlcyI6eyJTS0lOIjp7InVybCI6Imh0dHA6Ly90ZXh0dXJlcy5taW5lY3JhZnQubmV0L3RleHR1cmUvZmE3MjgxNTA3MjZlMTA4MmI1ZjhlOTJjOTgwOTZjMTcyODc5NWM0NjY4MTljOWFhZmMxMjI3ZmNiOTlmNmI0In19fQ== block.grass.place Tree Elf
## azalea bushes
#[-120230725,160778700,-1690049335,1380704231] eyJ0ZXh0dXJlcyI6eyJTS0lOIjp7InVybCI6Imh0dHA6Ly90ZXh0dXJlcy5taW5lY3JhZnQubmV0L3RleHR1cmUvM2E4ZThjYTIzODEwNTZmZTYxYWU0ZGE5MzRmZmUwNjEwODYxYWI3YzEzYWJlMzAyMGNkMTJlMTI3YzY4YzFhZSJ9fX0= block.azalea.place Bush Elf
#[-1479768633,1675380969,-2070701619,-1041790679] eyJ0ZXh0dXJlcyI6eyJTS0lOIjp7InVybCI6Imh0dHA6Ly90ZXh0dXJlcy5taW5lY3JhZnQubmV0L3RleHR1cmUvZjM3OWY0MmVlY2ZiOTMxNzM4OTY5ODhlMDYyMDVhOWFlOTc3M2IyN2VkZWMyYjkwNWNmOWEwNTQ4MDZhZmFjOSJ9fX0= block.azalea.place Bush Elf

# plank elves
[633395295,-232963161,-1467812704,563787538] eyJ0ZXh0dXJlcyI6eyJTS0lOIjp7InVybCI6Imh0dHA6Ly90ZXh0dXJlcy5taW5lY3JhZnQubmV0L3RleHR1cmUvMTBmOTZkOWI3MjMwM2YzNzI3OWZhOWMyY2MyM2VlNmY4ZGI2ODIzNjg1YjYyNmI1NmVkNTNiNjc0YjZiMCJ9fX0= block.wood.place Oak Elf
[1047289262,-427670359,-2029437413,1110480387] eyJ0ZXh0dXJlcyI6eyJTS0lOIjp7InVybCI6Imh0dHA6Ly90ZXh0dXJlcy5taW5lY3JhZnQubmV0L3RleHR1cmUvMjQyNzRhY2Y5NDYzNWE4NzNkZjA5Njg4MmEyNjYxZGNkNDQzMjgyZGIwODg4MGM3NjU1OTQ3YzRjYzY1ZCJ9fX0= block.wood.place Birch Elf
[-603635550,-451850740,-1257033696,-1307669904] eyJ0ZXh0dXJlcyI6eyJTS0lOIjp7InVybCI6Imh0dHA6Ly90ZXh0dXJlcy5taW5lY3JhZnQubmV0L3RleHR1cmUvMTBlYjE5NjhmZjJkYTZiY2E2OGY1OWI2MTExNzEzZTA4ZDIyNDk5MjI5ZTEwODY0NDljYmE1MGY3ZGU2NGFlIn19fQ== block.wood.place Spruce Elf
[-1253899014,1510032467,-1727836853,1476834528] eyJ0ZXh0dXJlcyI6eyJTS0lOIjp7InVybCI6Imh0dHA6Ly90ZXh0dXJlcy5taW5lY3JhZnQubmV0L3RleHR1cmUvZmQ5ZGQ3ZTU1ZWNiMDI1ZjdmNmNhYTc5OWU0YjBhMGM1NDg2MDk3YTU3N2Q2M2ZmMjIyYmYzMzhmNWViMCJ9fX0= block.wood.place Jungle Elf
[1344145446,913263791,-1201211865,981810529] eyJ0ZXh0dXJlcyI6eyJTS0lOIjp7InVybCI6Imh0dHA6Ly90ZXh0dXJlcy5taW5lY3JhZnQubmV0L3RleHR1cmUvNGZkOTE3ZmQ1OTNhN2FjNWJkZmUxZmM2NWQzMjBkZjQ2MTFkYTQzMWYzZWE0ZjM0YzdhMTkwMjBmNTEyIn19fQ== block.wood.place Dark Elf
[1903622148,483610537,-1299850246,764238268] eyJ0ZXh0dXJlcyI6eyJTS0lOIjp7InVybCI6Imh0dHA6Ly90ZXh0dXJlcy5taW5lY3JhZnQubmV0L3RleHR1cmUvNjI5OTY0ZGU4OGJjYWIzZjFiNzYzNTUyYjc5OTExZWYyNGU3NWIzMzUyZjY1ZGJkYThmNThmNjFkMWVhN2YifX19 block.wood.place Acacia Elf
[-820983196,1778861998,-2023977136,-273473355] eyJ0ZXh0dXJlcyI6eyJTS0lOIjp7InVybCI6Imh0dHA6Ly90ZXh0dXJlcy5taW5lY3JhZnQubmV0L3RleHR1cmUvOTQ0MzMxYjEwN2YxOWI3NTBiMzdlNTNmZmQxNzQ5MDc5NGU4YTViZTQ2ZGJhY2E5YWIyNDFmZmNkYjY1OTU2OCJ9fX0= block.wood.place Mangrove Elf
[-836485262,852707521,-1308409806,186692215] eyJ0ZXh0dXJlcyI6eyJTS0lOIjp7InVybCI6Imh0dHA6Ly90ZXh0dXJlcy5taW5lY3JhZnQubmV0L3RleHR1cmUvYTJjZDY5YTNlNDI1NjRjMGRhNGMyMjk3OTQzYmUyM2FhOWNlMWM3NTZkOGJhOWU2ZWVkZDhmNTIzMjE4ZmRlNCJ9fX0= block.nether_wood.place Crimson Elf
[1562247441,-684636907,-2066693595,382371432] eyJ0ZXh0dXJlcyI6eyJTS0lOIjp7InVybCI6Imh0dHA6Ly90ZXh0dXJlcy5taW5lY3JhZnQubmV0L3RleHR1cmUvMWJmYzc5MTgyNDdkNGU1YjU2YjA1ZGJhMDk1OGRkZjQ2MmM1ZTM1ZDJmZGNiMDgzNjQ4NmZkYzZlODEwNDEyMiJ9fX0= block.nether_wood.place Warped Elf

# log elves
[-55379546,753746504,-1517949859,-1306493605] eyJ0ZXh0dXJlcyI6eyJTS0lOIjp7InVybCI6Imh0dHA6Ly90ZXh0dXJlcy5taW5lY3JhZnQubmV0L3RleHR1cmUvNTRhYWRhNGQ5ZmNlZGE5MDE4NjkxOGQ2Y2EzNWI5YTBlYWQ4ZTRiMTRjOWQ5NDI3MTU3ZWU5YjkzMzlkN2IxIn19fQ== block.wood.place Oak Elf
